"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.481453000E0,-9.852083288E-3,-2.326259930E-3,1.993608177E-2,2.235894422E-2
1.491462000E0,2.638199748E-3,5.166471843E-4,1.140265524E-2,1.171527075E-2
1.501472000E0,-8.070345316E-4,3.298743255E-4,1.184879780E-2,1.188083040E-2
1.511482000E0,-2.699449332E-3,2.949034078E-3,1.634004414E-2,1.682203529E-2
1.521492000E0,3.005624162E-3,-2.198543949E-3,1.379592061E-2,1.428967451E-2
1.531502000E0,1.640235353E-3,-1.526792061E-2,2.337599874E-2,2.796850172E-2
1.541512000E0,-4.801431997E-3,-9.327725088E-3,1.499343038E-2,1.829926662E-2
1.551521000E0,-5.397619586E-4,1.395109110E-5,1.723934591E-2,1.724779942E-2
1.561531000E0,1.588085499E-3,4.826346617E-3,1.933674216E-2,1.999312969E-2
1.571541000E0,-3.665372813E-3,2.107446156E-3,1.185464501E-2,1.258605957E-2
1.581551000E0,-7.269368134E-3,-1.939124004E-3,2.068686426E-2,2.201250253E-2
1.591561000E0,-1.475873776E-3,-1.166366033E-2,1.874032617E-2,2.212281629E-2
1.601570000E0,-3.092656313E-3,1.710776528E-3,1.185464501E-2,1.237028245E-2
1.611580000E0,-6.163120614E-3,-4.266640171E-4,2.113125265E-2,2.201581105E-2
1.621590000E0,1.039983035E-2,-2.259994531E-3,1.394677877E-2,1.754356534E-2
1.631600000E0,9.637764562E-4,-2.280313605E-3,1.978463888E-2,1.993892251E-2
1.641610000E0,-3.917817213E-4,9.404332750E-4,1.753755391E-2,1.756711999E-2
1.651620000E0,-1.171261249E-3,-3.044846188E-3,7.505486012E-3,8.183841488E-3
1.661629000E0,-6.813413221E-3,1.012025122E-3,4.811089039E-3,8.401986212E-3
1.671639000E0,-7.645033468E-3,-5.170615143E-3,3.462136388E-3,9.857392457E-3
1.681649000E0,-9.579557357E-3,-3.098654277E-3,1.498816788E-2,1.805587865E-2
1.691659000E0,-3.615616662E-3,-2.900620960E-3,1.977879167E-2,2.031469630E-2
1.701669000E0,-1.394323390E-3,-6.875101347E-3,1.663532853E-2,1.805395557E-2
1.711679000E0,-3.448029980E-5,2.141963001E-3,1.588571548E-2,1.602950875E-2
1.721688000E0,1.457875315E-4,-5.025133677E-3,6.904976964E-3,8.541190160E-3
1.731698000E0,-2.514640773E-3,-5.034909490E-3,2.471910417E-2,2.535168323E-2
1.741708000E0,-5.987832053E-3,-5.531105124E-3,1.693529069E-2,1.879498144E-2
1.751718000E0,-1.096535660E-3,-4.024350741E-3,2.115522623E-3,4.676882007E-3
1.761728000E0,2.393703908E-6,-6.989971725E-3,1.917828262E-2,2.041240394E-2
1.771738000E0,-1.136680450E-3,-9.904589457E-4,1.723291397E-2,1.729873912E-2
1.781747000E0,-4.446643051E-3,-1.797868065E-3,1.603365004E-2,1.673567739E-2
1.791757000E0,-9.102013428E-4,-7.354673529E-3,6.155363917E-3,9.633700959E-3
1.801767000E0,-3.228951255E-3,-5.717188194E-3,8.699487448E-3,1.089924075E-2
1.811777000E0,3.342624782E-3,-7.162290998E-3,1.378598034E-2,1.589102913E-2
1.821787000E0,1.012206020E-2,-2.318685958E-3,1.303812146E-2,1.666808383E-2
1.831796000E0,1.317797955E-3,-2.584409933E-3,1.199030042E-2,1.233625025E-2
1.841806000E0,-9.177835369E-3,-5.524979252E-4,1.857894301E-2,2.072956921E-2
1.851816000E0,-4.954784364E-3,-7.861033268E-3,1.079337537E-2,1.424228507E-2
1.861826000E0,-5.385340434E-3,-1.165751619E-2,1.408652723E-2,1.906121257E-2
1.871836000E0,-2.370607406E-3,-5.948194326E-3,1.887422740E-2,1.993081171E-2
1.881846000E0,-9.511245433E-3,-9.588200273E-4,1.184002697E-2,1.521740334E-2
1.891855000E0,-4.002062799E-3,-5.191084966E-3,1.468528211E-2,1.608170950E-2
1.901865000E0,-5.844017956E-3,1.892725434E-3,1.274049819E-2,1.414408885E-2
